City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption
99,Melilla,ES,35.2937,-2.9383,73.6,53,0,8.05,clear sky
100,Half Moon Bay,US,37.4636,-122.4286,64.98,92,90,4.61,overcast clouds
101,Kalmunai,LK,7.4167,81.8167,79.21,83,74,6.71,broken clouds
102,The Valley,AI,18.217,-63.0578,87.66,65,20,13.8,few clouds
103,Bam,IR,29.106,58.357,71.26,22,27,2.86,scattered clouds
104,Pontianak,ID,-0.0333,109.3333,78.78,94,90,1.14,light rain
105,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,72,3.89,broken clouds
106,Sao Filipe,CV,14.8961,-24.4956,80.73,72,93,10.54,overcast clouds
107,Ancud,CL,-41.8697,-73.8203,58.53,47,0,3.89,clear sky
108,Mahibadhoo,MV,3.7833,72.9667,82.49,72,75,11.95,broken clouds
109,Hobart,AU,-42.8794,147.3294,52.27,69,66,4.0,broken clouds
110,Ifo,NG,6.8144,3.1958,85.62,74,98,5.39,light rain
111,Lompoc,US,34.6391,-120.4579,59.92,89,90,5.75,overcast clouds
112,Moranbah,AU,-22.0016,148.0466,77.25,63,42,6.4,scattered clouds
113,Moba,CN,33.2288,105.0179,46.58,81,100,5.3,overcast clouds
114,Henties Bay,NA,-22.116,14.2845,59.86,83,7,7.9,clear sky
115,Qaanaaq,GL,77.484,-69.3632,1.71,54,0,8.55,clear sky
116,Cabo San Lucas,MX,22.8909,-109.9124,85.6,61,1,3.44,clear sky
117,Shu,KZ,43.5983,73.7614,47.91,64,54,3.62,broken clouds
118,Tilichiki,RU,60.4667,166.1,5.95,95,50,8.03,scattered clouds
119,Geraldton,AU,-28.7667,114.6,55.13,87,0,6.91,clear sky
120,Bengkulu,ID,-3.8004,102.2655,76.95,91,100,4.61,moderate rain
121,Vao,NC,-22.6667,167.4833,70.47,75,15,7.87,few clouds
122,Kaeo,NZ,-35.1,173.7833,62.33,96,100,14.32,overcast clouds
123,Mpongwe,ZM,-13.5091,28.155,84.85,22,56,4.18,broken clouds
124,Kiruna,SE,67.8557,20.2251,29.32,100,90,3.44,overcast clouds
125,Alice Springs,AU,-23.7,133.8833,60.35,63,90,13.8,overcast clouds
126,Ponta Do Sol,PT,32.6667,-17.1,79.0,76,81,9.75,broken clouds
127,Clyde River,CA,70.4692,-68.5914,30.43,100,90,17.27,snow
128,Laguna,US,38.421,-121.4238,68.02,86,20,5.01,few clouds
129,Zharkent,KZ,44.1628,80.0,44.89,79,87,3.8,overcast clouds
130,Msanga,TZ,-6.05,36.0333,79.23,46,59,10.29,broken clouds
